Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018
4040389,4447207,4780138,4887871
550043,626933,710249,737438
3665339,5130247,6392288,7171646
2350624,2673293,2916028,3013825
29811427,33871653,37254523,39557045
3294473,4302086,5029316,5695564
3287116,3405650,3574147,3572665
666168,783559,897934,967171
606900,572086,601766,702455
12938071,15982571,18804580,21299325
6478149,8186653,9688709,10519475
1108229,1211497,1360307,1420491
1006734,1293957,1567657,1754208
11430602,12419927,12831572,12741080
5544156,6080827,6484061,6691878
2776831,2926538,3046872,3156145
2477588,2688925,2853126,2911505
3686892,4042193,4339333,4468402
4221826,4469035,4533485,4659978
1227928,1274779,1328369,1338404
4780753,5296647,5773798,6042718
6016425,6349364,6547790,6902149
9295287,9938823,9884117,9995915
4375665,4919631,5303925,5611179
2575475,2844754,2968118,2986530
5116901,5596564,5988952,6126452
799065,902200,989409,1062305
1578417,1711230,1826305,1929268
1201675,1998250,2700679,3034392
1109252,1235807,1316464,1356458
7747750,8414764,8791962,8908520
1515069,1819017,2059180,2095428
17990778,18977026,19378124,19542209
6632448,8046346,9535736,10383620
638800,642237,672576,760077
10847115,11353336,11536757,11689442
3145576,3450451,3751583,3943079
2842337,3421524,3831075,4190713
11882842,12280548,12702873,12807060
1003464,1048259,1052957,1057315
3486310,4012023,4625381,5084127
696004,754858,814198,882235
4877203,5689427,6346286,6770010
16986335,20851028,25146114,28701845
1722850,2233183,2763891,3161105
562758,608613,625744,626299
6189197,7079057,8001055,8517685
4866669,5894281,6724540,7535591
1793477,1808193,1853001,1805832
4891954,5363757,5687282,5813568
453589,493786,563773,577737
3522037,3808605,3726157,3195153
