Entity,Code,Year,Mean female height (cm) (centimeters)
Albania,ALB,1896,150.19613069999997
Albania,ALB,1897,150.41365869999998
Albania,ALB,1898,150.63143490000002
Albania,ALB,1899,150.8489403
Albania,ALB,1900,151.0665928
Albania,ALB,1901,151.2836351
Albania,ALB,1902,151.5002703
Albania,ALB,1903,151.71594299999998
Albania,ALB,1904,151.9305539
Albania,ALB,1905,152.1440493
Albania,ALB,1906,152.3563349
Albania,ALB,1907,152.56763519999998
Albania,ALB,1908,152.7779751
Albania,ALB,1909,152.9871906
Albania,ALB,1910,153.1958303
Albania,ALB,1911,153.40457680000003
Albania,ALB,1912,153.6142209
Albania,ALB,1913,153.8249284
Albania,ALB,1914,154.03652730000002
Albania,ALB,1915,154.2492373
Albania,ALB,1916,154.4632564
Albania,ALB,1917,154.6787415
Albania,ALB,1918,154.894423
Albania,ALB,1919,155.10859209999998
Albania,ALB,1920,155.32116240000002
Albania,ALB,1921,155.5306115
Albania,ALB,1922,155.73611200000002
Albania,ALB,1923,155.93656909999999
Albania,ALB,1924,156.13219469999999
Albania,ALB,1925,156.3240679
Albania,ALB,1926,156.5120054
Albania,ALB,1927,156.696115
Albania,ALB,1928,156.877027
Albania,ALB,1929,157.0549365
Albania,ALB,1930,157.2302674
Albania,ALB,1931,157.40146049999998
Albania,ALB,1932,157.56913319999998
Albania,ALB,1933,157.73362930000002
Albania,ALB,1934,157.8958937
Albania,ALB,1935,158.0556877
Albania,ALB,1936,158.212557
Albania,ALB,1937,158.36650780000002
Albania,ALB,1938,158.51700209999998
Albania,ALB,1939,158.66321630000002
Albania,ALB,1940,158.8048655
Albania,ALB,1941,158.94093999999998
Albania,ALB,1942,159.0716499
Albania,ALB,1943,159.1974707
Albania,ALB,1944,159.319378
Albania,ALB,1945,159.4380185
Albania,ALB,1946,159.55396409999997
Albania,ALB,1947,159.6666618
Albania,ALB,1948,159.77590849999999
Albania,ALB,1949,159.882223
Albania,ALB,1950,159.9865718
Albania,ALB,1951,160.08985230000002
Albania,ALB,1952,160.19149280000002
Albania,ALB,1953,160.2919076
Albania,ALB,1954,160.39096469999998
Albania,ALB,1955,160.48937759999998
Albania,ALB,1956,160.58696740000002
Albania,ALB,1957,160.6843231
Albania,ALB,1958,160.7825063
Albania,ALB,1959,160.88173510000001
Albania,ALB,1960,160.9815323
Albania,ALB,1961,161.0816993
Albania,ALB,1962,161.1811605
Albania,ALB,1963,161.277285
Albania,ALB,1964,161.3681694
Albania,ALB,1965,161.4526954
Albania,ALB,1966,161.5309021
Albania,ALB,1967,161.6032172
Albania,ALB,1968,161.6698032
Albania,ALB,1969,161.7308378
Albania,ALB,1970,161.78583319999998
Albania,ALB,1971,161.83510880000003
Albania,ALB,1972,161.8781679
Albania,ALB,1973,161.9157541
Albania,ALB,1974,161.94768069999998
Albania,ALB,1975,161.9739872
Albania,ALB,1976,161.994412
Albania,ALB,1977,162.008346
Albania,ALB,1978,162.0159293
Albania,ALB,1979,162.0181352
Albania,ALB,1980,162.01691730000002
Albania,ALB,1981,162.013127
Albania,ALB,1982,162.0079855
Albania,ALB,1983,162.0023184
Albania,ALB,1984,161.9952931
Albania,ALB,1985,161.9864249
Albania,ALB,1986,161.9751304
Albania,ALB,1987,161.9607155
Albania,ALB,1988,161.9428469
Albania,ALB,1989,161.9226509
Albania,ALB,1990,161.90064730000003
Albania,ALB,1991,161.8783534
Albania,ALB,1992,161.8559756
Albania,ALB,1993,161.8339882
Albania,ALB,1994,161.81234640000002
Albania,ALB,1995,161.79107630000001
Albania,ALB,1996,161.7698561
